"","Country","Variable","M000","M100","M101","M102","M112"
"31","Uganda","CDR","68% (58% – 79%)","67% (57% – 77%)","66% (56% – 76%)","63% (54% – 73%)","62% (53% – 71%)"
"32","Vietnam","CDR","67% (55% – 81%)","66% (54% – 78%)","63% (53% – 75%)","59% (50% – 69%)","59% (49% – 69%)"
"33","Zambia","CDR","84% (74% – 93%)","82% (74% – 92%)","81% (73% – 90%)","79% (71% – 88%)","78% (70% – 87%)"
"34","Cambodia","Inc","319 (261 – 380)","331 (272 – 389)","333 (276 – 393)","345 (285 – 406)","353 (296 – 415)"
"35","Ethiopia","Inc","163 (151 – 176)","164 (152 – 177)","165 (153 – 179)","168 (156 – 183)","170 (157 – 185)"
"36","Kenya","Inc","337 (290 – 388)","342 (295 – 393)","346 (300 – 398)","359 (311 – 412)","365 (317 – 418)"
"37","Lao PDR","Inc","511 (370 – 644)","537 (397 – 675)","545 (404 – 682)","595 (454 – 743)","609 (468 – 758)"
"38","Malawi","Inc","198 (165 – 239)","204 (170 – 245)","208 (175 – 250)","222 (186 – 265)","224 (189 – 268)"
"39","Pakistan","Inc","270 (243 – 301)","274 (246 – 306)","279 (250 – 309)","287 (258 – 319)","290 (262 – 321)"
"40","Philippines","Inc","866 (733 – 1,010)","885 (751 – 1,027)","897 (760 – 1,040)","916 (779 – 1,059)","932 (798 – 1,076)"
"41","Tanzania","Inc","283 (248 – 323)","288 (253 – 330)","293 (259 – 334)","306 (269 – 349)","309 (272 – 352)"
"42","Uganda","Inc","326 (280 – 381)","332 (285 – 387)","336 (289 – 393)","353 (303 – 410)","359 (308 – 416)"
"43","Vietnam","Inc","203 (167 – 243)","208 (173 – 248)","215 (179 – 254)","230 (194 – 272)","232 (197 – 275)"
"44","Zambia","Inc","402 (360 – 450)","408 (365 – 455)","413 (371 – 460)","425 (382 – 472)","430 (386 – 476)"
