"","Location","Variable","Value","Duration","Rate","RR_uni","RR_multi"
"1","Blantyre","Overall","","4.4 (2.1 – 7.4)","2.67 (1.30 – 5.41)","",""
"2","Blantyre","Sex","Female","4.4 (1.0 – 9.1)","3.55 (1.01 – 11.93)","reference","reference"
"3","Blantyre","Sex","Male","5.6 (2.4 –  9.7)","2.08 (0.92 – 4.63)","1.05 (0.29 – 2.63)","0.90 (0.36 – 1.74)"
"4","Blantyre","Age","[15,50)","3.4 (1.3 – 6.3)","3.87 (1.59 – 8.66)","reference","reference"
"5","Blantyre","Age","[50,Inf)"," 9.9 (3.6 – 16.8)","1.07 (0.38 – 2.99)","0.45 (0.12 – 1.18)","0.40 (0.13 – 0.99)"
"6","Blantyre","HIV","NonHIV","6.7 (2.9 – 11.7)","1.69 (0.72 – 3.79)","reference","reference"
"7","Blantyre","HIV","HIV","3.3 (0.7 – 6.9)","4.70 (1.39 – 15.84)","2.08 (0.50 – 5.90)","2.10 (0.75 – 5.20)"
"8","Kenya","Overall","","6.8 (5.6 – 8.2)","1.46 (1.17 – 1.82)","",""
"9","Kenya","Sex","Female","5.8 (4.1 – 7.7)","1.79 (1.24 – 2.63)","reference","reference"
"10","Kenya","Sex","Male","7.9 (6.2 –  9.7)","1.21 (0.94 – 1.58)","0.71 (0.45 – 1.05)","4.28 (0.082 – 7.49)"
"11","Kenya","Age","[15,25)","8.1 (5.4 – 11.1)","1.22 (0.79 – 1.90)","reference","reference"
"12","Kenya","Age","[25,35)","7.2 (5.0 –  9.7)","1.41 (0.96 – 2.07)","1.12 (0.64 – 1.84)","0.87 (0.17 – 2.36)"
"13","Kenya","Age","[35,45)","5.9 (3.7 – 8.4)","1.83 (1.12 – 2.91)","1.44 (0.78 – 2.49)","1.61 (0.11 – 5.07)"
"14","Kenya","Age","[45,55)","7.5 (4.5 – 11.1)","1.38 (0.79 – 2.33)","1.07 (0.54 – 1.99)","4.25 (0.082 – 15.36)"
"15","Kenya","Age","[55,65)","3.9 (0.9 – 8.4)","3.84 (1.10 – 12.76)","2.48 (0.83 – 7.06)","9.87 (0.12 – 43.25)"
"16","Kenya","Age","[65,Inf)","6.0 (2.9 –  9.6)","1.85 (0.89 – 3.72)","1.44 (0.61 – 3.04)","9.03 (0.52 – 35.85)"
"17","Kenya","HIV","NonHIV","8.0 (6.5 –  9.7)","1.19 (0.94 – 1.51)","reference","reference"
"18","Kenya","HIV","HIV","3.1 (1.5 – 5.1)","3.90 (2.01 – 7.60)","2.92 (1.49 – 5.54)","2.83 (0.75 – 4.23)"
